α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(3, 6, 4, 0)",89.18,40.83,2.39,12.0,0.8,"(8.34, 13.61, 12.31, 6.58)","(3.1, 1.53, 0.76, 3.63)","(0.65, 0.01, 0.0, 0.01)",10.0,28.67,"(8.34, 13.61, 12.31, 6.58)","(0.62, 0.15, 0.05, 0.18)","(0.01, 0.0, 0.0, 0.0)",773352
0.1,"(4, 6, 5, 1)",84.06,44.05,2.14,12.0,0.82,"(9.16, 13.67, 13.33, 7.89)","(2.51, 1.39, 0.33, 2.68)","(0.31, 0.0, 0.0, 0.0)",8.4,24.37,"(9.16, 13.67, 13.33, 7.89)","(0.5, 0.14, 0.02, 0.13)","(0.01, 0.0, 0.0, 0.0)",415724
0.2,"(5, 7, 6, 1)",78.43,47.25,1.83,12.0,0.85,"(10.52, 14.21, 14.57, 7.95)","(1.9, 1.4, 0.14, 2.47)","(0.21, 0.0, 0.0, 0.0)",6.63,18.43,"(10.52, 14.21, 14.57, 7.95)","(0.38, 0.14, 0.01, 0.12)","(0.0, 0.0, 0.0, 0.0)",403021
0.3,"(5, 8, 6, 2)",74.82,50.07,1.68,12.0,0.86,"(10.48, 15.89, 14.57, 9.13)","(1.91, 1.31, 0.14, 1.81)","(0.2, 0.0, 0.0, 0.0)",5.2,14.16,"(10.48, 15.89, 14.57, 9.13)","(0.38, 0.13, 0.01, 0.09)","(0.0, 0.0, 0.0, 0.0)",132198
0.4,"(6, 8, 7, 2)",73.64,54.73,1.34,12.0,0.89,"(13.17, 15.92, 16.51, 9.13)","(1.17, 1.23, 0.06, 1.81)","(0.11, 0.0, 0.0, 0.0)",3.97,10.56,"(13.17, 15.92, 16.51, 9.13)","(0.23, 0.12, 0.0, 0.09)","(0.0, 0.0, 0.0, 0.0)",123021
0.5,"(6, 8, 7, 2)",73.64,54.73,1.34,12.0,0.89,"(13.17, 15.92, 16.51, 9.13)","(1.17, 1.23, 0.06, 1.81)","(0.11, 0.0, 0.0, 0.0)",3.97,10.56,"(13.17, 15.92, 16.51, 9.13)","(0.23, 0.12, 0.0, 0.09)","(0.0, 0.0, 0.0, 0.0)",123021
0.6,"(6, 9, 8, 3)",74.16,63.06,1.01,12.0,0.92,"(13.18, 19.21, 19.63, 11.03)","(1.15, 0.74, 0.03, 1.16)","(0.09, 0.0, 0.0, 0.0)",2.12,5.81,"(13.18, 19.21, 19.63, 11.03)","(0.23, 0.07, 0.0, 0.06)","(0.0, 0.0, 0.0, 0.0)",43744
0.7,"(7, 9, 8, 3)",75.65,67.2,0.78,12.0,0.94,"(17.35, 19.22, 19.64, 11.0)","(0.53, 0.73, 0.02, 1.18)","(0.03, 0.0, 0.0, 0.0)",1.72,4.23,"(17.35, 19.22, 19.64, 11.0)","(0.11, 0.07, 0.0, 0.06)","(0.0, 0.0, 0.0, 0.0)",42010
0.8,"(7, 10, 9, 4)",84.23,80.5,0.46,12.0,0.96,"(17.36, 24.33, 24.05, 14.75)","(0.52, 0.19, 0.0, 0.54)","(0.01, 0.0, 0.0, 0.0)",0.67,1.79,"(17.36, 24.33, 24.05, 14.75)","(0.1, 0.02, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",8714
0.9,"(8, 10, 9, 4)",88.26,85.78,0.31,12.0,0.97,"(22.65, 24.33, 24.05, 14.75)","(0.16, 0.19, 0.0, 0.55)","(0.0, 0.0, 0.0, 0.0)",0.49,1.08,"(22.65, 24.33, 24.05, 14.75)","(0.03, 0.02, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",8626
0.95,"(9, 11, 10, 5)",108.76,108.28,0.07,12.0,0.99,"(28.48, 30.31, 29.5, 19.99)","(0.03, 0.0, 0.0, 0.17)","(0.0, 0.0, 0.0, 0.0)",0.09,0.19,"(28.48, 30.31, 29.5, 19.99)","(0.01, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",1000
0.99,"(10, 12, 11, 6)",132.07,132.01,0.01,12.0,1.0,"(34.46, 36.31, 35.42, 25.82)","(0.0, 0.0, 0.0, 0.03)","(0.0, 0.0, 0.0, 0.0)",0.01,0.02,"(34.46, 36.31, 35.42, 25.82)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",74
0.999,"(11, 12, 12, 7)",149.99,149.98,0.0,12.0,1.0,"(40.46, 36.31, 41.42, 31.79)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(40.46, 36.31, 41.42, 31.79)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
